DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.112589	11	2	2	3	2	1	1	0	2058	18	2	11.127	0	0.949573
DL	0.112643	11	2	2	5	3	1	1	0	2743	16	0	11.127	0	0
UL	0.112679	11	2	2	8	2	1	1	0	1966	17	0	11.127 	0	0.149161
DL	0.112839	11	2	3	1	4	1	1	0	4113	18	1	11.127	0	0
DL	0.112911	11	2	3	5	4	1	1	0	4113	18	2	11.127	1	0.997457
DL	0.113071	11	3	0	1	3	1	1	0	3084	18	1	11.127	0	0
DL	0.113125	11	3	0	4	3	1	1	0	3084	18	2	11.127	1	0.993117
UL	0.113161	11	3	0	7	2	1	1	0	1966	17	0	11.127 	1	0.149161
DL	0.113321	11	3	1	1	3	1	1	0	2743	16	0	11.127	0	0
UL	0.113464	11	3	1	4	8	1	1	0	7859	17	1	11.127 	0	0
DL	0.113625	11	3	2	1	6	1	1	0	5483	16	0	11.127	0	0
UL	0.113732	11	3	2	7	6	1	1	0	5896	17	0	11.127 	0	0.349981
DL	0.113875	11	3	3	1	6	1	1	0	5483	16	1	11.127	0	0
DL	0.113982	11	3	3	7	6	1	1	0	5483	16	2	11.127	0	0
DL	0.114125	11	4	0	1	6	1	1	0	5483	16	0	11.127	0	0
UL	0.114214	11	4	0	7	5	1	1	0	4913	17	0	11.127 	0	0.314022
DL	0.114375	11	4	1	1	6	1	1	0	5483	16	0	11.127	0	0
UL	0.114482	11	4	1	7	6	1	1	0	5896	17	0	11.127 	0	0.349981
DL	0.114589	11	4	2	1	4	1	1	0	3657	16	0	11.127	0	0
UL	0.114679	11	4	2	5	5	1	1	0	4913	17	0	11.127 	0	0.314022
DL	0.114821	11	4	3	1	3	1	1	0	2743	16	0	11.127	0	0
UL	0.114875	11	4	3	4	3	1	1	0	2949	17	0	11.127 	0	0.193762
DL	0.115089	11	5	0	1	4	1	1	0	3657	16	0	11.127	0	0
UL	0.115125	11	5	0	5	2	1	1	0	1966	17	0	11.127 	0	0.149161
DL	0.115321	11	5	1	1	3	1	1	0	2743	16	0	11.127	0	0
UL	0.115339	11	5	1	4	1	1	1	0	983	17	0	11.127 	0	0.09483
DL	0.115589	11	5	2	1	4	1	1	0	3657	16	0	11.127	0	0
UL	0.115625	11	5	2	5	2	1	1	0	1966	17	0	11.127 	0	0.149161
DL	0.115821	11	5	3	1	3	1	1	0	2743	16	0	11.127	0	0
UL	0.115875	11	5	3	4	3	1	1	0	2949	17	0	11.127 	1	0.193762
DL	0.116089	11	6	0	1	4	1	1	0	3657	16	0	11.127	0	0
UL	0.116179	11	6	0	5	5	1	1	0	4913	17	0	11.127 	0	0.314022
DL	0.116321	11	6	1	1	3	1	1	0	2743	16	0	11.127	0	0
UL	0.116393	11	6	1	4	4	1	1	0	3929	17	0	11.127 	0	0.276073
DL	0.116589	11	6	2	1	4	1	1	0	3657	16	0	11.127	0	0
UL	0.116643	11	6	2	5	3	1	1	0	2949	17	1	11.127 	0	0
UL	0.116679	11	6	2	8	2	1	1	0	1966	17	0	11.127 	0	0.149161
DL	0.116821	11	6	3	1	3	1	1	0	2743	16	0	11.127	0	0
DL	0.117089	11	7	0	1	4	1	1	0	3657	16	0	11.127	0	0
UL	0.117125	11	7	0	5	2	1	1	0	1966	17	0	11.127 	1	0.149161
DL	0.117321	11	7	1	1	3	1	1	0	2743	16	0	11.127	0	0
UL	0.117411	11	7	1	4	5	1	1	0	4913	17	0	11.127 	0	0.314022
DL	0.117589	11	7	2	1	4	1	1	0	3657	16	0	11.127	0	0
UL	0.117714	11	7	2	5	7	1	1	0	6879	17	0	11.127 	0	0.0105172
DL	0.117821	11	7	3	1	3	1	1	0	2743	16	0	11.127	0	0
UL	0.117857	11	7	3	4	2	1	1	0	1966	17	1	11.127 	0	0
UL	0.117911	11	7	3	6	3	1	1	0	2949	17	0	11.127 	1	0.193762
DL	0.118089	11	8	0	1	4	1	1	0	3657	16	0	11.127	0	0
UL	0.118125	11	8	0	5	2	1	1	0	1966	17	0	11.127 	0	0.149161
DL	0.118321	11	8	1	1	3	1	1	0	2743	16	0	11.127	0	0
UL	0.118339	11	8	1	4	1	1	1	0	983	17	0	11.127 	0	0
DL	0.118589	11	8	2	1	4	1	1	0	3657	16	0	11.127	0	0
UL	0.118643	11	8	2	5	3	1	1	0	2949	17	1	11.127 	0	0
UL	0.118679	11	8	2	8	2	1	1	0	1966	17	0	11.127 	0	0.149161
DL	0.118821	11	8	3	1	3	1	1	0	2743	16	0	11.127	0	0
UL	0.118875	11	8	3	4	3	1	1	0	2949	17	0	11.127 	0	0.193762
DL	0.119089	11	9	0	1	4	1	1	0	3657	16	0	11.127	0	0
UL	0.119179	11	9	0	5	5	1	1	0	4913	17	0	11.127 	0	0.314022
DL	0.119321	11	9	1	1	3	1	1	0	2743	16	0	11.127	0	0
UL	0.119393	11	9	1	4	4	1	1	0	3929	17	0	11.127 	0	0.276073
DL	0.119589	11	9	2	1	4	1	1	0	3657	16	0	11.127	0	0
UL	0.119625	11	9	2	5	2	1	1	0	1966	17	0	11.127 	0	0.149161
DL	0.119821	11	9	3	1	3	1	1	0	2743	16	0	11.127	0	0
DL	0.120089	12	0	0	1	4	1	1	0	3657	16	0	11.127	0	0
UL	0.120125	12	0	0	5	2	1	1	0	1966	17	0	11.127 	0	0.149161
DL	0.120321	12	0	1	1	3	1	1	0	2743	16	0	11.127	0	0
UL	0.120411	12	0	1	4	5	1	1	0	4913	17	0	11.127 	1	0.314022
DL	0.120589	12	0	2	1	4	1	1	0	3657	16	0	11.127	0	0
UL	0.120714	12	0	2	5	7	1	1	0	6879	17	0	11.127 	0	0.0105172
DL	0.120821	12	0	3	1	3	1	1	0	2743	16	0	11.127	0	0
UL	0.120875	12	0	3	4	3	1	1	0	2949	17	0	11.127 	0	0.193762
DL	0.121089	12	1	0	1	4	1	1	0	3657	16	0	11.127	0	0
UL	0.121179	12	1	0	5	5	1	1	0	4913	17	1	11.127 	0	0
DL	0.121321	12	1	1	1	3	1	1	0	2743	16	0	11.127	0	0
UL	0.121339	12	1	1	4	1	1	1	0	983	17	0	11.127 	0	0.09483
DL	0.121589	12	1	2	1	4	1	1	0	3657	16	0	11.127	0	0
UL	0.121679	12	1	2	5	5	1	1	0	4913	17	0	11.127 	1	0.314022
DL	0.121821	12	1	3	1	3	1	1	0	2743	16	0	11.127	0	0
UL	0.121929	12	1	3	4	6	1	1	0	5896	17	0	11.127 	1	0.349981
DL	0.122089	12	2	0	1	4	1	1	0	3657	16	0	11.127	0	0
UL	0.122161	12	2	0	5	4	1	1	0	3929	17	0	11.127 	0	0.276073
DL	0.122321	12	2	1	1	3	1	1	0	2743	16	0	11.127	0	0
